Wall time,Step,Value
1756212006.1633122,435625,654.6907958984375
1756212009.06005,436875,631.9974365234375
1756212011.0111904,437675,628.5038452148438
1756212012.5430167,438350,610.5489501953125
1756212014.0722198,439000,608.6556396484375
1756212015.9253726,439775,634.0888061523438
1756212016.521287,440025,644.6926879882812
1756212018.5497017,440875,637.9251708984375
1756212019.258696,441175,654.5293579101562
1756212019.9262793,441450,671.0501098632812
1756212021.659838,442200,673.9681396484375
1756212023.0012546,442800,657.7500610351562
1756212025.6514437,443850,636.408935546875
1756212028.7156715,445175,641.7364501953125
1756212029.0664349,445325,665.4266357421875
1756212029.8380349,445700,663.540283203125
1756212031.0526495,446200,656.206787109375
1756212031.6582808,446450,661.9241333007812
1756212035.0772097,447850,665.9974365234375
1756212035.845812,448175,645.553955078125
1756212036.6901214,448575,657.8967895507812
1756212038.8165252,449450,675.2789916992188
1756212039.6546154,449775,677.586669921875
1756212043.6648154,451400,699.79638671875
1756212043.8511903,451475,716.5974731445312
1756212045.196519,452025,730.4552001953125
1756212046.7414591,452600,738.4823608398438
1756212050.6728249,454200,700.3126831054688
1756212050.9556563,454300,713.0816650390625
1756212054.1535304,455400,743.7186279296875
1756212056.4962416,456300,745.544677734375
1756212057.800433,456825,744.6442260742188
1756212058.9237552,457300,746.2505493164062
1756212060.5264904,457950,737.5158081054688
1756212061.740022,458425,750.7234497070312
1756212064.216509,459325,767.1607666015625
1756212064.9354699,459650,753.231201171875
1756212065.9320765,460125,755.608154296875
1756212066.8284078,460500,755.0469360351562
1756212074.0835285,463550,742.3392944335938
1756212074.8545737,463850,750.1737670898438
1756212075.9638104,464275,754.2896118164062
1756212077.5901327,464875,764.8220825195312
1756212081.8182383,466525,750.5197143554688
1756212085.1815426,467875,731.439208984375
1756212086.4757884,468400,746.6255493164062
1756212091.6038153,470275,748.0029296875
1756212092.0727935,470450,752.1575927734375
1756212093.2517216,470900,754.180908203125
1756212099.0314493,472900,796.9115600585938
1756212100.5129974,473475,779.94921875
1756212101.3372226,473800,778.806884765625
1756212102.8885498,474400,761.729248046875
1756212104.1790643,474925,765.7828979492188
1756212105.205008,475350,772.892333984375
1756212108.1596515,476250,765.9425048828125
1756212108.960252,476550,755.3942260742188
1756212111.4566832,477500,764.4954223632812
1756212113.304279,478225,761.97705078125
1756212114.3307345,478625,755.0173950195312
1756212116.0938013,479325,758.2566528320312
1756212116.972687,479675,765.7357788085938
1756212119.9395525,480850,748.343994140625
1756212120.584382,481100,752.6005859375
1756212122.3852785,481825,775.0789794921875
1756212123.7127035,482375,786.3988647460938
1756212125.1443229,482925,790.3479614257812
1756212126.759336,483525,803.4359741210938
1756212129.2715986,484475,794.391357421875
1756212130.4467225,484950,797.0938720703125
1756212132.3483603,485675,770.207763671875
1756212134.3815613,486325,784.5905151367188
1756212137.7271147,487575,766.2108764648438
1756212139.0445428,488125,758.6427612304688
1756212141.5150826,489100,795.4512939453125
1756212145.515642,490575,803.0798950195312
1756212146.8351443,491100,818.118896484375
1756212148.728657,491875,816.554443359375
1756212151.119371,492850,868.0781860351562
1756212152.1209185,493250,866.8657836914062
1756212153.6193664,493850,864.523681640625
1756212154.4954987,494200,859.7601928710938
1756212156.0358756,494825,860.509033203125
1756212156.6981404,495075,854.266845703125
1756212159.5268083,496175,859.910400390625
1756212162.2656593,497250,839.482421875
1756212163.3116734,497650,835.3760986328125
1756212166.091258,498750,841.9501953125
1756212171.7810214,500450,816.91748046875
1756212172.248374,500625,835.4317626953125
1756212174.2602704,501350,841.989990234375
1756212176.676464,502250,843.697998046875
1756212178.809353,503050,837.7933959960938
1756212179.771993,503425,851.7671508789062
1756212180.6015022,503775,821.3994750976562
1756212182.3292522,504475,826.638671875
1756212186.6475344,506175,823.0125122070312
1756212188.1893647,506775,796.6007080078125
1756212188.7654238,506950,805.9110717773438
1756212190.733603,507700,776.0471801757812
1756212197.7263262,510525,797.2680053710938
1756212198.681796,510900,783.6910400390625
1756212199.3401923,511150,790.7787475585938
1756212200.6278515,511650,792.2353515625
1756212204.6334927,513200,810.0199584960938
1756212205.0391243,513350,815.0816650390625
1756212206.355913,513850,801.0805053710938
1756212209.587691,515075,802.9889526367188
1756212212.7021585,516275,814.2599487304688
1756212213.2877128,516500,787.1520385742188
1756212214.8120704,517175,779.4918212890625
1756212217.2252836,518225,777.4927978515625
1756212217.9299846,518525,758.65771484375
1756212218.7274804,518850,781.2400512695312
1756212220.8938968,519700,782.1220092773438
1756212225.0686116,521150,792.5841064453125
1756212226.1644096,521600,786.9959716796875
1756212227.6607358,522225,767.7612915039062
1756212229.1875622,522850,753.63720703125
1756212231.5392716,523825,737.1060180664062
1756212234.2021697,524900,778.3882446289062
1756212234.7235563,525100,763.0833740234375
1756212240.7170494,527475,771.1260986328125
1756212241.7296515,527875,770.1970825195312
1756212243.1302652,528450,767.8070068359375
1756212245.090011,529225,787.1385498046875
1756212246.157106,529675,773.5084838867188
1756212247.5517435,530250,789.0015869140625
1756212249.774798,531200,787.1002807617188
1756212251.8740652,532025,792.591796875
1756212254.6989775,532925,798.601318359375
1756212256.988168,533825,792.046630859375
1756212259.0126157,534575,810.9185180664062
1756212260.4046924,535125,798.3229370117188
1756212263.9739275,536325,846.6243896484375
1756212267.8975506,537900,888.4368896484375
1756212269.341062,538475,910.3985595703125
1756212273.1123893,540000,950.3396606445312
1756212274.4156723,540550,946.5540161132812
1756212275.0384395,540825,920.4253540039062
1756212279.502247,542650,954.6026000976562
1756212281.6557019,543575,967.7010498046875
1756212282.2133737,543825,959.0631713867188
1756212286.410053,545700,943.3663940429688
1756212288.7380168,546375,950.9840087890625
1756212290.4931946,547050,921.8905029296875
1756212292.3815057,547825,927.0963134765625
1756212294.2444012,548600,928.5040283203125
1756212295.2400808,549050,942.578125
1756212295.8836594,549350,937.4338989257812
1756212297.379254,549925,969.3297729492188
1756212299.627068,550725,960.9437866210938
1756212302.4311972,551975,880.9810180664062
1756212303.986596,552650,861.5660400390625
1756212305.0163963,553100,838.33544921875
1756212308.4048135,554500,845.718505859375
1756212310.3588698,555225,839.7443237304688
1756212310.980339,555475,839.422119140625
1756212313.8012137,556675,877.2247314453125
1756212320.248242,559175,877.30517578125
1756212322.456735,560150,869.0586547851562
1756212324.7233946,561100,865.5360717773438
1756212326.0239265,561650,868.001220703125
1756212327.8589542,562400,867.9840698242188
1756212331.2275445,563825,877.3325805664062
1756212334.4110348,565125,921.3397216796875
1756212336.0580366,565875,953.5108032226562
1756212337.2112837,566400,957.654052734375
1756212338.621323,566950,977.8259887695312
1756212339.7429237,567400,1008.9691772460938
1756212340.5592976,567725,1003.7362060546875
1756212344.1099126,569225,1011.3013916015625
1756212345.9179728,570000,1062.9036865234375
1756212347.2899563,570625,1089.5609130859375
1756212349.0236866,571450,1101.0782470703125
1756212350.3665228,571925,1108.8670654296875
1756212352.605692,572625,1094.216064453125
1756212356.345227,574200,1095.8499755859375
1756212358.0125456,574925,1067.3175048828125
1756212358.6804247,575200,1056.6319580078125
1756212363.2925894,577075,1075.839599609375
1756212366.4808638,578375,1081.218017578125
1756212367.331057,578725,1118.7911376953125
1756212369.6723235,579800,1117.6427001953125
1756212371.509002,580625,1112.380126953125
1756212372.9488223,581225,1121.2410888671875
